location,coordinate,pinyin
"['沖繩', '北中城', '第一牧志公設市場', '普天滿宮']","[(126.98991, 27.1853954), (127.81505719581565, 26.3056901), (127.68828809365763, 26.21454615), (127.77709098641641, 26.2927599)]","['chong_sheng', 'bei_zhong_cheng', 'di_yi_mu_zhi_gong_she_shi_chang', 'pu_tian_man_gong']"
"['沖繩', '青洞']","[(126.98991, 27.1853954), (125.2782878, 24.7954452)]","['chong_sheng', 'qing_dong']"
"['沖繩', '宮古島']","[(126.98991, 27.1853954), (125.30557898287014, 24.813957000000002)]","['chong_sheng', 'gong_gu_dao']"
"['那霸', '赤嶺', '首里城', '玉陵', '金城町石疊道']","[(127.6652622, 26.1947116), (127.6652622, 26.1947116), (127.7193727, 26.2170014), (127.71465395814947, 26.21812655), (127.7152174, 26.2160037)]","['na_ba', 'chi_ling', 'shou_li_cheng', 'yu_ling', 'jin_cheng_ting_shi_die_dao']"
"['琉球村', '萬座毛', '燒肉乃我那霸', '名護鳳梨園']","[(127.77531413622545, 26.42962575), (127.8502564, 26.5050087), (127.9755281561686, 26.60346085), (127.96966933368074, 26.6164726)]","['liu_qiu_cun', 'wan_zuo_mao', 'shao_rou_nai_wo_na_ba', 'ming_hu_feng_li_yuan']"
"['石垣島', '小浜島', '波照間島']","[(124.23850609363018, 24.4710165), (123.98013927991886, 24.339113), (123.78215537332564, 24.0587455)]","['shi_yuan_dao', 'xiao_bang_dao', 'bo_zhao_jian_dao']"
"['中城公園', '古宇利島', '美麗海水族']","[(127.79813538647655, 26.28292715), (128.017934, 26.7037332), (127.87803798652658, 26.69436885)]","['zhong_cheng_gong_yuan', 'gu_yu_li_dao', 'mei_li_hai_shui_zu']"
"['齋場御嶽', '沖繩世界文化王國', '玉泉洞']","[(127.8263726, 26.1723583), (127.7487649, 26.140606), (127.7494943, 26.1404524)]","['zhai_chang_yu_yue', 'chong_sheng_shi_jie_wen_hua_wang_guo', 'yu_quan_dong']"
"['系滿', '那霸新都心']","[(127.67860713032576, 26.126804149999998), (127.69816055164745, 26.225712700000003)]","['xi_man', 'na_ba_xin_dou_xin']"
"['沖繩', '那霸市區']","[(126.98991, 27.1853954), (127.755107, 26.255141)]","['chong_sheng', 'na_ba_shi_qu']"
"['沖繩', '美麗海水族館']","[(126.98991, 27.1853954), (127.87803798652658, 26.69436885)]","['chong_sheng', 'mei_li_hai_shui_zu_guan']"
"['那霸機場', '通堂拉麵', '美國村']","[(127.6489520891715, 26.1966997), (127.666235, 26.1979152), (127.7573637, 26.3165214)]","['na_ba_ji_chang', 'tong_tang_la_mian', 'mei_guo_cun']"
"['那霸機場', '美國村']","[(127.6489520891715, 26.1966997), (127.7573637, 26.3165214)]","['na_ba_ji_chang', 'mei_guo_cun']"
"['沖繩', '那霸空港']","[(126.98991, 27.1853954), (127.6489520891715, 26.1966997)]","['chong_sheng', 'na_ba_kong_gang']"
"['美國村', '沖縄美ら海水族館']","[(127.7573637, 26.3165214), (127.87803798652658, 26.69436885)]","['mei_guo_cun', 'chong_sheng_mei_ら_hai_shui_zu_guan']"
"['沖繩', '玉泉洞']","[(126.98991, 27.1853954), (127.7494943, 26.1404524)]","['chong_sheng', 'yu_quan_dong']"
"['沖繩本島', '石垣島', '宮古島']","[(127.91146866408414, 26.4748948), (124.23850609363018, 24.4710165), (125.30557898287014, 24.813957000000002)]","['chong_sheng_ben_dao', 'shi_yuan_dao', 'gong_gu_dao']"
"['古宇利島', '萬座毛']","[(128.017934, 26.7037332), (127.8502564, 26.5050087)]","['gu_yu_li_dao', 'wan_zuo_mao']"
"['沖繩美ら海水族館', '琉宮城蝶々園']","[(127.87803798652658, 26.69436885), (127.87996541135112, 26.68336785)]","['chong_sheng_mei_ら_hai_shui_zu_guan', 'liu_gong_cheng_die_々_yuan']"
"['美里店', '勝連城跡']","[(127.8188849, 26.347158), (127.881007956869, 26.330879)]","['mei_li_dian', 'sheng_lian_cheng_ji']"
"['北谷', '海中道路']","[(127.7615869, 26.3057697), (127.9421576, 26.3377403)]","['bei_gu', 'hai_zhong_dao_lu']"
"['那霸市', '北谷町']","[(127.6652622, 26.1947116), (127.768221, 26.312545)]","['na_ba_shi', 'bei_gu_ting']"
"['古宇利島', '沖繩縣']","[(128.017934, 26.7037332), (127.852425, 26.338702)]","['gu_yu_li_dao', 'chong_sheng_xian']"
"['沖繩', '石垣島']","[(126.98991, 27.1853954), (124.23850609363018, 24.4710165)]","['chong_sheng', 'shi_yuan_dao']"
"['宮古島', '那霸']","[(125.30557898287014, 24.813957000000002), (127.6652622, 26.1947116)]","['gong_gu_dao', 'na_ba']"
"['沖繩', '浦添']","[(126.98991, 27.1853954), (127.7382848, 26.2444388)]","['chong_sheng', 'pu_tian']"
"['那霸機場', '美麗海水族館']","[(127.6489520891715, 26.1966997), (127.87803798652658, 26.69436885)]","['na_ba_ji_chang', 'mei_li_hai_shui_zu_guan']"
"['那霸空港', '波上宮']","[(127.6489520891715, 26.1966997), (127.67109957940744, 26.22061335)]","['na_ba_kong_gang', 'bo_shang_gong']"
"['沖繩', '暖暮拉麵']","[(126.98991, 27.1853954), (127.9842241, 26.5841163)]","['chong_sheng', 'nuan_mu_la_mian']"
"['殘波岬', '八重岳']","[(127.7119195, 26.4404961), (127.9283285, 26.6355394)]","['can_bo_jia', 'ba_zhong_yue']"
"['沖繩', '那霸機場']","[(126.98991, 27.1853954), (127.6489520891715, 26.1966997)]","['chong_sheng', 'na_ba_ji_chang']"
"['沖繩', '古宇利', '青洞']","[(126.98991, 27.1853954), (128.0200016, 26.7010213), (125.2782878, 24.7954452)]","['chong_sheng', 'gu_yu_li', 'qing_dong']"
"['沖繩', '月桃民宿']","[(126.98991, 27.1853954), (127.6831788, 26.21263)]","['chong_sheng', 'yue_tao_min_su']"
"['沖繩美麗海水族館', '綜合案內所']","[(127.87803798652658, 26.69436885), (127.95843, 26.6438022)]","['chong_sheng_mei_li_hai_shui_zu_guan', 'zong_he_an_nei_suo']"
"['美國村', '古宇利大橋']","[(127.7573637, 26.3165214), (128.01694498469027, 26.685981650000002)]","['mei_guo_cun', 'gu_yu_li_da_qiao']"
"['伊計島', '宮城島']","[(127.9961462, 26.3918699), (127.98264302392184, 26.368636000000002)]","['yi_ji_dao', 'gong_cheng_dao']"
"['那霸機場', '通堂拉麵']","[(127.6489520891715, 26.1966997), (127.666235, 26.1979152)]","['na_ba_ji_chang', 'tong_tang_la_mian']"
"['沖繩', '國際通']","[(126.98991, 27.1853954), (127.6808596, 26.2138122)]","['chong_sheng', 'guo_ji_tong']"
"['那霸', '波上宮']","[(127.6652622, 26.1947116), (127.67109957940744, 26.22061335)]","['na_ba', 'bo_shang_gong']"
"['國際通', '奧武山公園']","[(127.6808596, 26.2138122), (127.6753296, 26.2007505)]","['guo_ji_tong', 'ao_wu_shan_gong_yuan']"
"['識名園', '玉陵']","[(127.71573262446663, 26.2040713), (127.71465395814947, 26.21812655)]","['shi_ming_yuan', 'yu_ling']"
"['西表島', '上原港']","[(123.83916364873272, 24.3464015), (123.7997899, 24.4179552)]","['xi_biao_dao', 'shang_yuan_gang']"
"['那霸', '美國村', '萬座毛', '首里城']","[(127.6652622, 26.1947116), (127.75627640752987, 26.3157352), (127.8502564, 26.5050087), (127.7193727, 26.2170014)]","['na_ba', 'mei_guo_cun', 'wan_zuo_mao', 'shou_li_cheng']"
"['石垣島', '體育館']","[(124.23850609363018, 24.4710165), (136.20572205046113, 35.106157749999994)]","['shi_yuan_dao', 'ti_yu_guan']"
"['石垣島', '明石食堂']","[(124.23850609363018, 24.4710165), (124.3002104, 24.5394854)]","['shi_yuan_dao', 'ming_shi_shi_tang']"
"['石垣島', '石垣']","[(124.23850609363018, 24.4710165), (124.1575482, 24.3457111)]","['shi_yuan_dao', 'shi_yuan']"
"['萬座毛', '泊港漁市場']","[(127.8502564, 26.5050087), (127.6802917, 26.2299654)]","['wan_zuo_mao', 'po_gang_yu_shi_chang']"
"['那霸', '沖繩美麗海水族館']","[(127.6652622, 26.1947116), (127.87803798652658, 26.69436885)]","['na_ba', 'chong_sheng_mei_li_hai_shui_zu_guan']"
"['新都心西松屋', '美麗海水族館']","[(131.80041115999848, 34.06529645), (127.87803798652658, 26.69436885)]","['xin_dou_xin_xi_song_wu', 'mei_li_hai_shui_zu_guan']"
"['那霸機場', '租車']","[(127.6489520891715, 26.1966997), (127.6700935, 26.1988675)]","['na_ba_ji_chang', 'zu_che']"
"['波上宮', '首里城', '那霸機場']","[(127.67109957940744, 26.22061335), (127.7193727, 26.2170014), (127.6489520891715, 26.1966997)]","['bo_shang_gong', 'shou_li_cheng', 'na_ba_ji_chang']"
"['那霸', '美國村', '恩納村']","[(127.6652622, 26.1947116), (127.75627640752987, 26.3157352), (127.8523314, 26.4956849)]","['na_ba', 'mei_guo_cun', 'en_na_cun']"
"['首里城', '新都心']","[(127.7193727, 26.2170014), (127.691747, 26.2286529)]","['shou_li_cheng', 'xin_dou_xin']"
"['沖繩', '豊崎市']","[(126.98991, 27.1853954), (127.852425, 26.338702)]","['chong_sheng', 'li_qi_shi']"
"['那霸', '波上']","[(127.6652622, 26.1947116), (127.6816254, 26.2266905)]","['na_ba', 'bo_shang']"
"['沖繩', '豊見城市', '南城市']","[(126.98991, 27.1853954), (127.6619321, 26.1570607), (127.771152, 26.1625434)]","['chong_sheng', 'li_jian_cheng_shi', 'nan_cheng_shi']"
"['真榮田岬', '海中道路']","[(127.7713649, 26.4462842), (127.9421576, 26.3377403)]","['zhen_rong_tian_jia', 'hai_zhong_dao_lu']"
"['那霸', '北中城村', '首里城']","[(127.6652622, 26.1947116), (127.797094, 26.2991), (127.7193727, 26.2170014)]","['na_ba', 'bei_zhong_cheng_cun', 'shou_li_cheng']"
"['沖繩', '座間味島', '阿嘉']","[(127.852425, 26.338702), (127.30191226900453, 26.2349547), (126.7923331, 26.366764)]","['chong_sheng', 'zuo_jian_wei_dao', 'a_jia']"
"['波上宮', '護國寺']","[(127.67109957940744, 26.22061335), (127.6715981069886, 26.2201246)]","['bo_shang_gong', 'hu_guo_si']"
"['那霸機場', '波上宮']","[(127.6489520891715, 26.1966997), (127.67109957940744, 26.22061335)]","['na_ba_ji_chang', 'bo_shang_gong']"
"['沖繩', '北谷西松屋']","[(126.98991, 27.1853954), (127.76061944741281, 26.305491949999997)]","['chong_sheng', 'bei_gu_xi_song_wu']"
"['泡瀨漁港', '水族館']","[(127.8348095, 26.3235857), (127.6931115, 26.2158421)]","['pao_lai_yu_gang', 'shui_zu_guan']"
"['沖繩', '波上宮', '北谷']","[(126.98991, 27.1853954), (127.67109957940744, 26.22061335), (127.7615869, 26.3057697)]","['chong_sheng', 'bo_shang_gong', 'bei_gu']"
"['首里城', '国際通り']","[(127.7193727, 26.2170014), (127.692467, 26.2177155)]","['shou_li_cheng', 'guo_ji_tong_り']"
"['國際通', '鹽屋']","[(127.6808596, 26.2138122), (128.1092012, 26.6769898)]","['guo_ji_tong', 'yan_wu']"
"['那霸機場', '沖繩公車']","[(127.6489520891715, 26.1966997), (127.7990733, 26.3419628)]","['na_ba_ji_chang', 'chong_sheng_gong_che']"
"['那霸', '宜野灣']","[(127.6652622, 26.1947116), (127.7382848, 26.2444388)]","['na_ba', 'yi_ye_wan']"
"['國際通', '鹽屋']","[(127.6808596, 26.2138122), (128.1092012, 26.6769898)]","['guo_ji_tong', 'yan_wu']"
"['那霸', '萬座毛']","[(127.6652622, 26.1947116), (127.8502564, 26.5050087)]","['na_ba', 'wan_zuo_mao']"
"['沖繩', '波上宮']","[(126.98991, 27.1853954), (127.67109957940744, 26.22061335)]","['chong_sheng', 'bo_shang_gong']"
"['勝連城跡', '海中道路']","[(127.881007956869, 26.330879), (127.9421576, 26.3377403)]","['sheng_lian_cheng_ji', 'hai_zhong_dao_lu']"
"['美國村', '牧志公設市場']","[(127.7573637, 26.3165214), (127.68828809365763, 26.21454615)]","['mei_guo_cun', 'mu_zhi_gong_she_shi_chang']"
"['沖繩', '美國村']","[(126.98991, 27.1853954), (127.7573637, 26.3165214)]","['chong_sheng', 'mei_guo_cun']"
"['沖繩', '那霸市']","[(126.98991, 27.1853954), (127.6652622, 26.1947116)]","['chong_sheng', 'na_ba_shi']"
"['名護市', '恩納村', '讀谷村']","[(127.9774759, 26.5919599), (127.865372, 26.493888), (127.74201, 26.397613)]","['ming_hu_shi', 'en_na_cun', 'du_gu_cun']"
"['沖繩美麗海水族館', '古宇利島']","[(127.87803798652658, 26.69436885), (128.017934, 26.7037332)]","['chong_sheng_mei_li_hai_shui_zu_guan', 'gu_yu_li_dao']"
"['那霸', '宜野灣', '北谷']","[(127.6652622, 26.1947116), (127.7382848, 26.2444388), (127.80340400389383, 26.286436600000002)]","['na_ba', 'yi_ye_wan', 'bei_gu']"
"['沖繩', '古宇利島']","[(126.98991, 27.1853954), (128.017934, 26.7037332)]","['chong_sheng', 'gu_yu_li_dao']"
"['美國村', '那霸市區']","[(127.7573637, 26.3165214), (127.755107, 26.255141)]","['mei_guo_cun', 'na_ba_shi_qu']"
"['勝連城跡', '沖繩島', '宇流']","[(127.881007956869, 26.330879), (127.6816254, 26.2266905), (127.852425, 26.338702)]","['sheng_lian_cheng_ji', 'chong_sheng_dao', 'yu_liu']"
"['沖繩世界文化王國', '玉泉洞']","[(127.7487649, 26.140606), (127.7494943, 26.1404524)]","['chong_sheng_shi_jie_wen_hua_wang_guo', 'yu_quan_dong']"
"['沖繩', '那霸機場', '臨空豐']","[(126.98991, 27.1853954), (127.6489520891715, 26.1966997), (127.65444622104285, 26.1588693)]","['chong_sheng', 'na_ba_ji_chang', 'lin_kong_feng']"
"['名護市', '恩納村', '市']","[(127.9774759, 26.5919599), (127.865372, 26.493888), (127.852425, 26.338702)]","['ming_hu_shi', 'en_na_cun', 'shi']"
"['那霸', '小祿']","[(127.6652622, 26.1947116), (127.6670333, 26.1965305)]","['na_ba', 'xiao_lu']"
"['古宇利島', '水族館']","[(128.017934, 26.7037332), (127.6931115, 26.2158421)]","['gu_yu_li_dao', 'shui_zu_guan']"
"['美ら海水族館', '今歸仁城跡']","[(127.87803798652658, 26.69436885), (127.9291076, 26.6914906)]","['mei_ら_hai_shui_zu_guan', 'jin_gui_ren_cheng_ji']"
"['齋場御嶽', '沖繩世界文化王國']","[(127.8263726, 26.1723583), (127.7487649, 26.140606)]","['zhai_chang_yu_yue', 'chong_sheng_shi_jie_wen_hua_wang_guo']"
"['首里城', '玉陵']","[(127.7193727, 26.2170014), (127.71465395814947, 26.21812655)]","['shou_li_cheng', 'yu_ling']"
"['宜野灣', '真榮田岬']","[(127.754067, 26.270245), (127.7713649, 26.4462842)]","['yi_ye_wan', 'zhen_rong_tian_jia']"
"['那霸', '美榮橋']","[(127.6652622, 26.1947116), (127.6843877, 26.2192194)]","['na_ba', 'mei_rong_qiao']"
"['古宇利大橋', '美麗海水族館']","[(128.01694498469027, 26.685981650000002), (127.87803798652658, 26.69436885)]","['gu_yu_li_da_qiao', 'mei_li_hai_shui_zu_guan']"
"['北谷公園', '美國村']","[(127.75754564871528, 26.311519699999998), (127.7573637, 26.3165214)]","['bei_gu_gong_yuan', 'mei_guo_cun']"
"['沖繩', '樹屋']","[(126.98991, 27.1853954), (127.69371792082853, 26.22715865)]","['chong_sheng', 'shu_wu']"
"['那霸市', '泊港漁市場']","[(127.6652622, 26.1947116), (127.6802917, 26.2299654)]","['na_ba_shi', 'po_gang_yu_shi_chang']"
"['美ら海水族館', '古宇利大橋', '泊港魚市 泊']","[(127.87803798652658, 26.69436885), (128.01694498469027, 26.685981650000002), (127.6802272256673, 26.230004049999998)]","['mei_ら_hai_shui_zu_guan', 'gu_yu_li_da_qiao', 'po_gang_yu_shi_ _po']"
"['那霸機場', '單軌電']","[(127.6489520891715, 26.1966997), (127.6819988, 26.2171834)]","['na_ba_ji_chang', 'dan_gui_dian']"
"['那霸機場', '單軌電車']","[(127.6489520891715, 26.1966997), (127.6819988, 26.2171834)]","['na_ba_ji_chang', 'dan_gui_dian_che']"
"['首里城', '玉泉洞']","[(127.7193727, 26.2170014), (127.7494943, 26.1404524)]","['shou_li_cheng', 'yu_quan_dong']"
"['首里城', '龍潭']","[(127.7193727, 26.2170014), (127.71771050956829, 26.219468)]","['shou_li_cheng', 'long_tan']"
"['首里城', '國際通']","[(127.7193727, 26.2170014), (127.6808596, 26.2138122)]","['shou_li_cheng', 'guo_ji_tong']"
"['首里城', '守禮門', '園比']","[(127.7193727, 26.2170014), (127.71688865561498, 26.21815555), (127.8270019, 26.3092463)]","['shou_li_cheng', 'shou_li_men', 'yuan_bi']"
"['首里城', '沖繩縣立博物館･美術館']","[(127.7193727, 26.2170014), (127.69371792082853, 26.22715865)]","['shou_li_cheng', 'chong_sheng_xian_li_bo_wu_guan_･_mei_shu_guan']"
"['那霸', '沖繩市', '宜野灣市']","[(127.6652622, 26.1947116), (127.7903201059357, 26.3324313), (127.7784916, 26.2814968)]","['na_ba', 'chong_sheng_shi', 'yi_ye_wan_shi']"
"['普天間', '沖繩市']","[(127.773764, 26.294537), (127.8056597, 26.3343738)]","['pu_tian_jian', 'chong_sheng_shi']"
"['那霸機場', '首里城', '美國村']","[(127.6489520891715, 26.1966997), (127.7193727, 26.2170014), (127.7573637, 26.3165214)]","['na_ba_ji_chang', 'shou_li_cheng', 'mei_guo_cun']"
"['那霸空港', '結結號']","[(127.6489520891715, 26.1966997), (136.1557757, 34.9490598)]","['na_ba_kong_gang', 'jie_jie_hao']"
"['沖繩', '宜野灣']","[(126.98991, 27.1853954), (127.754067, 26.270245)]","['chong_sheng', 'yi_ye_wan']"
"['那霸機場', '國際通']","[(127.6489520891715, 26.1966997), (127.6808596, 26.2138122)]","['na_ba_ji_chang', 'guo_ji_tong']"
"['那霸機場', '首里城']","[(127.6489520891715, 26.1966997), (127.7193727, 26.2170014)]","['na_ba_ji_chang', 'shou_li_cheng']"
"['沖繩', '名護', '萬座毛', '本部']","[(127.852425, 26.338702), (127.9934158, 26.5887925), (127.8502564, 26.5050087), (127.72372165357311, 26.18994515)]","['chong_sheng', 'ming_hu', 'wan_zuo_mao', 'ben_bu']"
"['波上宮', '新原']","[(127.67109957940744, 26.22061335), (127.6973104, 26.1183365)]","['bo_shang_gong', 'xin_yuan']"
"['波上宮', '首里城']","[(127.67109957940744, 26.22061335), (127.7193727, 26.2170014)]","['bo_shang_gong', 'shou_li_cheng']"
"['海洋博公園', '鳳梨園']","[(127.87667661400731, 26.689698), (127.97085864629214, 26.6165795)]","['hai_yang_bo_gong_yuan', 'feng_li_yuan']"
"['那霸市', '系滿市']","[(127.6652622, 26.1947116), (127.66923, 26.147427)]","['na_ba_shi', 'xi_man_shi']"
